City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,marsh harbour,26.5412,-77.0636,300.45,78,36,4.08,BS,1686622962
324,den burg,53.0542,4.7972,293.13,65,9,5.14,NL,1686622963
325,coos bay,43.3665,-124.2179,291.1,88,100,3.6,US,1686622963
326,chinde,26.8418,88.0763,294.79,74,31,1.3,NP,1686622963
327,ancud,-41.8697,-73.8203,277.9,90,41,2.61,CL,1686622964
328,iskushuban,10.2837,50.23,303.01,40,100,10.48,SO,1686622964
329,sancti spiritus,21.9297,-79.4425,298.15,91,86,2.22,CU,1686622965
330,retreat,38.8245,-85.8533,287.66,79,0,1.93,US,1686622965
331,gisborne,-38.6533,178.0042,285.63,73,38,7.7,NZ,1686622965
332,front royal,38.9182,-78.1944,291.81,78,0,2.57,US,1686622966
333,arraial do cabo,-22.9661,-42.0278,295.19,91,4,3.38,BR,1686622966
334,lazaro cardenas,17.9583,-102.2,300.61,75,1,3.5,MX,1686622966
335,puerto leguizamo,-0.1934,-74.7819,295.8,98,91,0.63,CO,1686622967
336,port douglas,-16.4833,145.4667,297.51,73,34,2.96,AU,1686622967
337,northam,51.0333,-4.2167,288.52,97,22,0.19,GB,1686622968
338,guaiba,-30.1139,-51.325,283.31,80,0,0.0,BR,1686622791
339,minot air force base,48.4209,-101.3391,296.47,51,0,2.06,US,1686622968
340,ngereklmadel,7.4883,134.4856,297.2,94,100,4.12,PW,1686622969
341,vernon,50.2581,-119.2691,306.44,35,33,1.54,CA,1686622970
342,kindu,-2.95,25.95,293.7,92,25,0.33,CD,1686622971
343,san marcelino,14.9742,120.1573,302.96,81,88,5.11,PH,1686622972
344,urzhar,47.093,81.6294,296.4,28,90,2.92,KZ,1686622972
345,quelimane,-17.8786,36.8883,294.12,94,0,2.06,MZ,1686622973
346,st. john's,47.5649,-52.7093,281.86,95,100,7.2,CA,1686622973
347,bethalto,38.9092,-90.0407,291.93,67,0,2.57,US,1686622973
348,trenton,40.217,-74.7429,294.91,93,100,4.12,US,1686622792
349,plymouth,41.8334,-70.8328,293.37,89,100,3.6,US,1686622964
350,alice springs,-23.7,133.8833,291.05,31,0,4.63,AU,1686622886
351,oneida,43.2001,-75.4663,291.81,91,100,3.09,US,1686622922
352,molbergen,52.8667,7.9333,289.06,70,5,3.73,DE,1686622975
353,fort st. john,56.2499,-120.8529,296.09,40,75,2.06,CA,1686622975
354,kupang,-10.1667,123.5833,303.47,51,20,9.26,ID,1686622975
355,ust'-barguzin,53.45,108.9833,282.07,97,100,1.76,RU,1686622976
